Author;Artwork;Artwork component;Current support;Decoration;"Material";Original support;Ornament;Signature;Inscription;Signature datation;Technique;ID
Antonello da Messina;Portrait sf a Young Man;;wood;;wood;;;;;;oil;P001
Antonello da Messina;Christ Crowned with Thorns;;wood;;wood;;;ANTONELLUS MESS. N... ME PIN.. T.;;;oil over tempera (?);P002
Antonello de Saliba;The Madonna Adoring the Child;;wood;;wood;;;;;;oil, tempera;P003
Giovanni Bellini;The Madonna and Child;;wood;;wood;;;"""IOANNES BELLINVS""";;;oil;P004
Giovanni Bellini;"The Madonna Adoring the Sleeping Child ";;wood;;wood;;;"""IOANNES BELLINVS""";;;tempera;P005
Giovanni Bellini & workshop;The Madonna and Child with Saint;;wood;;wood;;;"""IOANNES BELLINVS""";"""ECCE AGNVS DEI""";;tempera, oil;P006
Workshop of Giovanni Bellini;The Madonna and Child;;wood;;wood;;;;;;tempera, oil;P007
Workshop of Giovanni Bellini;The Presentation in the Temple;;wood;;wood;;;IOANNES BELLINVS;;;oil;P008
Jacopo Bellini;The Madanna and Child;;wood;golden ground;wood;;;;... MARIA.;;tempera;P009
Bernardo Bellotto;Vaprio d'Adda;;canvas;;canvas;;;;;;oil;P010
Bonifazio Veronese;A Mirarle of Saint Ambrose;;canvas;;canvas;;;;;;oil;P011
Canaletto;Venice: the Piazzetta;;canvas;;canvas;;;;;;oil;P012
Canaletto;Venice: Santa Maria della Salute;;canvas;;canvas;;;;;;oil;P013
Vittore Carpaccio;The Meditatian on the Passion;;wood;;wood;;;vjctorjs carpattjj venettj opus;"""with a cry"", ""Israel"",  ""crown"", ""Israel"", ""that my Redeemer liveth"", ""19""";;tempera;P014
Francesco Casanova;Cavalier and Shepherd;;canvas;;canvas;;;;;;oil;P015
Vincenzo Catena;Portrait of a Venetian Senatar;;canvas;;canvas;;;;;;oil;P016
Vincenzo Catena;The Adoration of the Shepherds;;canvas;;canvas;;;;;;oil;P017
Giovanni Battista Cima;Three Saints: Roch, Anthony Abbot, and Lucy;;canvas;;canvas;wood;;;;;tempera, oil;P018
Giovanni Battista Cima;The Madonna and Child with Saint Francis and Saint Clare;;wood;;wood;;;;"""IOANNES BELLINVS FACIEBAT""";;tempera;P019
Carlo Crivelli;Saint Dominic;;wood;tooled golden ground;wood;;;;;;tempera;P020
Carlo Crivelli;Saint George;;wood;tooled golden ground;wood;;;;;;tempera;P021
Carlo Crivelli;The Pietà;;wood;tooled golden ground;wood;;;;;;tempera;P022
Carlo Crivelli;The Madonna and Child;;wood;;wood;;;OPVS.KAROLI.CRIVELLI.VENETI;;;tempera, gold;P023
Gasparo Diziani;"Dawn (ceiling decoration) ";;canvas;;canvas;;;;;;oil;P024
Michele Giambono;The Man of Sorrows;;wood;embossed blood and crown of thorns, incised Wounds;wood;;;;;;tempera;P025
Jacopo Guarana;The Crowning with Thorns;;canvas;;canvas;;;GVARA.F.;;;oil;P026
Francesco Guardi;Venice: the Grand Canal above the Rialto;;canvas;;canvas;;;Fran co De' Guardi;Vuduta del Same di Rialto / in Venezia / del Guardi;;oil;P027
Francesco Guardi;Venice: Santa Maria de/la Salute;;canvas;;canvas;;;;dalla / Veduta Salute in Venezia / del F.co Guardi;;oil;P028
Francesco Guardi;Landscape;;canvas;;paper;;;;;;oil;P029
Francesco Guardi;Landscape;;canvas;;paper;;;;;;oil;P030
Francesco Guardi;Fantastic Landscape;;canvas;;canvas;;;;;;oil;P031
Francesco Guardi;Fantastic Landscape;;canvas;;canvas;;;;;;oil;P032
Francesco Guardi;Fantastic Landscape;;canvas;;canvas;;;;;;oil;P033
Francesco Guardi;Venice: Piazza San Marco;;canvas;;canvas;;;Fran/ Guardi;;;oil;P034
Francesco Guardi;Venice from the Sea;;canvas;;canvas;;;;;;oil;P035
