,identifier,author,title,material,technique
0,P000,Antonello da Messina,Portrait of a Young Man,['wood'],"['painting', 'Oil']"
1,P001,Antonello da Messina,Christ Crowned with Thorns,['wood'],"['tempera', 'Oil']"
2,P002,Antonello de Saliba,The Madonna Adoring the Child,['wood'],"['painting', 'Tempera', 'oil']"
3,P003,Giovanni Bellini,The Madonna and Child,['wood'],"['painting', 'Oil']"
4,P004,Giovanni Bellini,The Madonna Adoring the Sleeping Child ,"['wood', 'marble']","['painting', 'Tempera']"
5,P005,Giovanni Bellini,The Madonna and Child with Saint,['wood'],"['painting', 'oil']"
6,P006,Workshop of Giovanni Bellini,The Madonna and Child,['wood'],"['Tempera', 'oil']"
7,P007,Workshop of Giovanni Bellini,The Presentation in the Temple,['wood'],"['painting', 'Oil']"
8,P008,Jacopo Bellini,The Madonna and Child,"['wood', 'gold']",['Tempera']
9,P009,Bernardo Bellotto,Vaprio d'Adda,['canvas'],"['painting', 'Oil', 'drawing']"
10,P010,Bonifazio Veronese,A Miracle of Saint Ambrose,['canvas'],"['painting', 'Oil']"
11,P011,Antonio Canal,Venice: the Piazzetta,['canvas'],"['Oil', 'drawing']"
12,P012,Antonio Canal,Venice: Santa Maria della Salute,['canvas'],"['painting', 'Oil']"
13,P013,Vittore Carpaccio,The Meditatian on the Passion,"['wood', 'stone']",['Tempera']
14,P014,Francesco Casanova,Cavalier and Shepherd,['canvas'],['Oil']
15,P015,Vincenzo Catena,Portrait of a Venetian Senatar,['canvas'],"['painting', 'Oil']"
16,P016,Vincenzo Catena,The Adoration of the Shepherds,['canvas'],"['Oil', 'engraving']"
17,P017,Giovanni Battista,"Three Saints: Roch, Anthony Abbot, and Lucy","['wood', 'canvas']","['painting', 'Tempera', 'oil']"
18,P018,Giovanni Battista,The Madonna and Child with Saint Francis and Saint Clare,['wood'],['Tempera']
19,P019,Carlo Crivelli,Saint Dominic,"['wood', 'gold']","['painting', 'Tempera']"
20,P020,Carlo Crivelli,Saint George,"['wood', 'gold']",['Tempera']
21,P021,Carlo Crivelli,The Pietà,"['wood', 'gold']","['painting', 'Tempera']"
22,P022,Carlo Crivelli,The Madonna and Child,"['Wood', 'marble', 'gold']","['cabochon', 'Tempera']"
23,P023,Gasparo Diziani,Dawn (ceiling decoration) ,"['stucco', 'canvas']","['painting', 'stucco', 'Oil']"
24,P024,Michele Giambono,The Man of Sorrows,['wood'],['Tempera']
25,P025,Jacopo Guarana,The Crowning with Thorns,['canvas'],"['painting', 'Oil']"
26,P026,Francesco Guardi,Venice: the Grand Canal above the Rialto,['canvas'],"['painting', 'Oil', 'drawing', 'cut']"
27,P027,Francesco Guardi,Venice: Santa Maria de/la Salute,['canvas'],['Oil']
28,P028,Francesco Guardi,Landscape,"['paper', 'canvas']","['painting', 'Oil']"
29,P029,Francesco Guardi,Landscape,"['paper', 'canvas']",['Oil']
30,P030,Francesco Guardi,Fantastic Landscape,['canvas'],"['painting', 'Oil', 'drawing']"
31,P031,Francesco Guardi,Fantastic Landscape,['canvas'],['Oil']
32,P032,Francesco Guardi,Fantastic Landscape,['canvas'],['Oil']
33,P033,Francesco Guardi,Venice: Piazza San Marco,['canvas'],"['painting', 'Oil']"
34,P034,Francesco Guardi,Venice from the Sea,['canvas'],['Oil']
35,P035,Francesco Guardi,Still Life,['canvas'],"['painting', 'Oil']"
36,P036,Francesco Guardi,Still Life,['canvas'],['Oil']
37,P037,Jacometto Veneziano,Portrait of a Young Man,['wood'],"['painting', 'Tempera', 'oil']"
38,P038,Antonio Joli,London: St. Paul's and Old London Bridge,['canvas'],['Oil']
39,P039,Alessandro Longhi,Count Carla Aurelia Widmann,['canvas'],['Oil']
40,P040,Pietro Longhi,The Letter,['canvas'],"['painting', 'Oil']"
41,P041,Pietro Longhi,The Visit,['canvas'],['Oil']
42,P042,Pietro Longhi,The Temptation,['canvas'],"['painting', 'Oil']"
43,P043,Pietro Longhi,The Meeting,"['canvas', 'silk']",['Oil']
44,P044,Lorenzo Lotto,Brother Gregorio Bela of Vicenza,"['stone', 'canvas']","['painting', 'Oil']"
45,P045,Lorenzo Lotto,Joseph Sold by His Brethren,['canvas'],"['painting', 'Oil', 'drawing']"
46,P046,Lorenzo Lotto,The Madonna and Child with Saint James the Less and Saint Lucy,"['wood', 'gold']","['painting', 'Tempera']"
47,P047,Giustino Menescardi,Esther before Ahasuerus,['canvas'],"['painting', 'Oil']"
48,P048,Francesco Montemezzano,Portrait of a Woman,['canvas'],"['painting', 'Oil']"
49,P049,Francesco Montemezzano,Saint Ursula and her Maidens,"['wood', 'gold']",['Tempera']
50,P050,Jacopo Palma,The Crurifixion,"['stone', 'canvas', 'marble']","['painting', 'Oil']"
51,P051,Jacopo Palma,The Ecstasy of Saint Francis,['canvas'],"['painting', 'Oil', 'cut']"
52,P052,Paolo Veneziano,The Madonna and Child Enthroned,"['wood', 'marble', 'gold']","['painting', 'Tempera']"
53,P053,Paolo Veneziano,Saint Christopher Carrying the Infant Christ,['canvas'],"['painting', 'Oil']"
54,P054,Carlo Saraceni,Paradise,['copper'],"['painting', 'Oil']"
55,P055,Andrea Schiavone,The Marriage of Cupid and Psyche,['wood'],"['painting', 'Drawing', 'drawing', 'Oil']"
56,P056,Sebastiano del Piombo,Christopher Columbus,['canvas'],"['engraving', 'Oil', 'drawing']"
57,P057,Lambert Sustris,Portrait of a Nobleman,['canvas'],"['painting', 'Oil']"
58,P058,Giovanni Battista Tiepolo,The Investiture of Bishop Harold as Duke of Franconia (sketch),['canvas'],"['painting', 'Drawing', 'Painting', 'Oil']"
59,P059,Giovanni Battista Tiepolo,The Glorification of Francesco Barbaro (ceiling),['canvas'],"['painting', 'Oil', 'engraving']"
60,P060,Giovanni Battista Tiepolo,The Adoration of the Magi (sketch),['canvas'],"['painting', 'Oil']"
61,P061,Giovanni Battista Tiepolo,Saint Thecla Praying for the Plaguestricken (sketch),['canvas'],"['painting', 'Drawing', 'drawing', 'Oil']"
62,P062,Giovanni Battista Tiepolo,The Apotheosis of the Spanish Monarchy (ceiling sketch),"['canvas', 'skin']","['blowing', 'painting', 'Oil']"
63,P063,Giovanni Battista Tiepolo,Neptune and the Winds (sketch),['canvas'],"['painting', 'Oil']"
64,P064,Giovanni Battista Tiepolo,The Triumph of Marius,"['stucco', 'canvas', 'metal', 'marble']","['blowing', 'painting', 'stucco', 'Oil']"
65,P065,Giovanni Battista Tiepolo,The Capture of Carthage ,['canvas'],"['Oil', 'drawing']"
66,P066,Giovanni Battista Tiepolo,The Battle of Vercellae,['canvas'],"['painting', 'Oil', 'drawing']"
67,P067,Workshop of Giovanni Battista Tiepolo,Thirteen Allegorical Frescoes,['plaster'],"['hammered', 'coloring', 'plaster', 'cast', 'painting']"
68,P068,Workshop of Giovanni Battista Tiepolo,The Sacrifice of Isaac,['canvas'],"['painting', 'Oil']"
69,P069,Workshop of Giovanni Battista Tiepolo,Virtue and Wisdom,['canvas'],"['painting', 'Oil']"
70,P070,Workshop of Giovanni Battista Tiepolo,The Glorification of the Giustiniani Family (ceiling sketch),"['there was', 'canvas', 'marble']","['blowing', 'painting', 'Oil', 'drawing']"
71,P071,Jacopo Robusti,Doge Alvise Mocenigo Presented to the Redeemer,"['canvas', 'marble']","['painting', 'Oil']"
72,P072,Jacopo Robusti,The Miracle of the Loaves and Fishes,['canvas'],"['painting', 'Oil']"
73,P073,Jacopo Robusti,The Finding of Moses,['canvas'],"['painting', 'Oil']"
74,P074,Jacopo Robusti,Portrait of a Man,['canvas'],"['Oil', 'drawing']"
75,P075,Jacopo Robusti,Portrait of a Young Man,"['canvas', 'marble']",['Oil']
76,P076,Titian,Portrait of a Man,"['there was', 'canvas', 'marble']",['Oil']
77,P077,Titian,"Filippo Archinto, Archishop of Milan",['canvas'],"['painting', 'Oil']"
78,P078,Titian,Doge Andrea Gritti,['canvas'],"['painting', 'Oil', 'cut']"
79,P079,Titian,Venus and the Lute Player,['canvas'],"['painting', 'Oil']"
80,P080,Titian,The Madonna and Child,['wood'],"['painting', 'Oil']"
81,P081,Titian,Venus and Adonis,['canvas'],"['painting', 'Oil', 'engraving']"
82,P082,Titian,"Aldonso d'Este, Duke of Ferrara",['canvas'],"['painting', 'Oil']"
83,P083,Titian,Mars and Venus United by Love,"['canvas', 'marble']","['pressing', 'painting', 'Oil', 'drawing']"
84,P084,Titian,Boy with a Greyhound,['canvas'],"['painting', 'Oil']"
85,P085,Titian,Alessandro Vittoria,"['Gem', 'canvas', 'bronze', 'marble']","['painting', 'Oil', 'cast']"
86,P086,Antonio Vivarini,Saint Peter Martyr Healing the Leg of a Young Man,['wood'],['Tempera']
87,P087,Workshop of Antonio Vivarini,Saint Jerome,"['wood', 'gold']","['painting', 'Tempera']"
88,P088,Bartolomeo Vivarini,The Madonna and Child,"['wood', 'canvas', 'gold']","['painting', 'Tempera']"
89,P089,Bartolomeo Vivarini,The Death of the Virgin,"['wood', 'stone', 'sculpture']","['mosaic', 'painting', 'Tempera', 'sculpture']"
90,P090,Bartolomeo Vivarini,A Saint Reading (Saint Mark?),"['wood', 'gold']","['painting', 'Tempera']"
91,P091,Francesco Zuccarelli,Landscape with Figures,['canvas'],"['painting', 'Oil', 'pastel', 'fusion']"
92,P092,Francesco Zuccarelli,The Madonna and Child,['wood'],['Tempera']
93,P093,Francesco Zuccarelli,The Last Supper,['canvas'],"['painting', 'Oil']"
